RetailerID,Retailer,InvoiceDate,Region,State,City,Product,PriceperUnit,UnitsSold,TotalSales,OperatingProfit,OperatingMargin,SalesMethod,OperatingExpenses
1185732,Foot Locker,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45,825,37125,129937.49999999999,35,Outlet,92812.49999999999
1185732,Foot Locker,2020-02-04,Northeast,New York,New York,Men's Apparel,60,825,49500,148500.0,30,Outlet,99000.0
1185732,Foot Locker,2020-02-05,Northeast,New York,New York,Women's Apparel,50,950,47500,118750.0,25,Outlet,71250.0
1185732,Foot Locker,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60,1220,73200,366000.0,50,Outlet,292800.0
1185732,Foot Locker,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55,925,50875,152625.0,30,Outlet,101750.0
1185732,Foot Locker,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50,900,45000,157500.0,35,Outlet,112500.0
1185732,Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50,1200,38250,133800.0,50,In-store,95550.0
1185732,Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50,1000,50000,150000.0,30,In-store,100000.0
1185732,Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40,1000,40000,140000.0,35,In-store,100000.0
1185732,Foot Locker,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45,850,38250,133875.0,35,In-store,95625.0
1185732,Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,60,900,54000,162000.0,30,In-store,108000.0
1185732,Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,50,1000,50000,125000.0,25,In-store,75000.0
1185732,Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50,1250,62500,312500.0,50,In-store,250000.0
1185732,Foot Locker,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50,900,45000,135000.0,30,Outlet,90000.0
1185732,Foot Locker,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40,950,38000,133000.0,35,Outlet,95000.0
1185732,Foot Locker,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45,825,37125,129937.49999999999,35,Outlet,92812.49999999999
1185732,Foot Locker,2020-01-23,Northeast,New York,New York,Men's Apparel,60,900,54000,162000.0,30,Outlet,108000.0
1185732,Foot Locker,2020-01-24,Northeast,New York,New York,Women's Apparel,50,1000,50000,125000.0,25,Outlet,75000.0
